,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
43,1869,NA,1.0,21.0,13.0,"[[('determin', 3), ('carbon', 2), ('liquefact', 2), ('chang', 2), ('volum', 2), ('numer', 2), ('pressur', 2), ('acid', 1), ('appar', 1), ('absolut', 1)]]","[[('determin', 3), ('carbon', 2), ('liquefact', 2), ('chang', 2), ('volum', 2), ('numer', 2), ('pressur', 2), ('acid', 1), ('appar', 1), ('absolut', 1), ('expans', 1), ('liquid', 1), ('origin', 1)]]","[[('determin', 3), ('carbon', 2), ('liquefact', 2), ('chang', 2), ('volum', 2), ('numer', 2), ('pressur', 2), ('acid', 1), ('appar', 1), ('absolut', 1), ('expans', 1), ('liquid', 1), ('origin', 1)]]","[[('determin', 3), ('carbon', 2), ('liquefact', 2), ('chang', 2), ('volum', 2), ('numer', 2), ('pressur', 2), ('acid', 1), ('appar', 1), ('absolut', 1), ('expans', 1), ('liquid', 1), ('origin', 1)]]",0.0,,1.0,"[[('determin', 3)]]",3.0,"[[('determin', 3), ('carbon', 2), ('liquefact', 2)]]",3.0,"[[('determin', 3), ('carbon', 2), ('liquefact', 2)]]"
44,1870,NA,,,,,,,,,,,,,,,
45,1871,NA,1.0,23.0,11.0,"[[('state', 5), ('ordinari', 5), ('liquid', 3), ('gaseous', 3), ('point', 1), ('pressur', 1), ('way', 1), ('alter', 1), ('heat', 1), ('without', 1)]]","[[('state', 5), ('ordinari', 5), ('liquid', 3), ('gaseous', 3), ('point', 1), ('pressur', 1), ('way', 1), ('alter', 1), ('heat', 1), ('without', 1), ('chang', 1)]]","[[('state', 5), ('ordinari', 5), ('liquid', 3), ('gaseous', 3), ('point', 1), ('pressur', 1), ('way', 1), ('alter', 1), ('heat', 1), ('without', 1), ('chang', 1)]]","[[('state', 5), ('ordinari', 5), ('liquid', 3), ('gaseous', 3), ('point', 1), ('pressur', 1), ('way', 1), ('alter', 1), ('heat', 1), ('without', 1), ('chang', 1)]]",0.0,,1.0,"[[('state', 5)]]",2.0,"[[('state', 5), ('ordinari', 5)]]",3.0,"[[('state', 5), ('ordinari', 5), ('liquid', 3)]]"
46,1872,NA,1.0,24.0,13.0,"[[('quantiti', 4), ('cold', 3), ('surfac', 3), ('small', 3), ('air', 2), ('steam', 2), ('presenc', 1), ('power', 1), ('contact', 1), ('fresh', 1)]]","[[('quantiti', 4), ('cold', 3), ('surfac', 3), ('small', 3), ('air', 2), ('steam', 2), ('presenc', 1), ('power', 1), ('contact', 1), ('fresh', 1), ('passag', 1), ('object', 1), ('investig', 1)]]","[[('quantiti', 4), ('cold', 3), ('surfac', 3), ('small', 3), ('air', 2), ('steam', 2), ('presenc', 1), ('power', 1), ('contact', 1), ('fresh', 1), ('passag', 1), ('object', 1), ('investig', 1)]]","[[('quantiti', 4), ('cold', 3), ('surfac', 3), ('small', 3), ('air', 2), ('steam', 2), ('presenc', 1), ('power', 1), ('contact', 1), ('fresh', 1), ('passag', 1), ('object', 1), ('investig', 1)]]",0.0,,1.0,"[[('quantiti', 4)]]",3.0,"[[('quantiti', 4), ('cold', 3), ('surfac', 3)]]",3.0,"[[('quantiti', 4), ('cold', 3), ('surfac', 3)]]"
47,1873,NA,,,,,,,,,,,,,,,
48,1874,NA,2.0,45.0,24.0,"[[('number', 4), ('experi', 4), ('coeffici', 3), ('gaseous', 3), ('high', 2), ('determin', 2), ('expans', 2), ('iodid', 2), ('mercuri', 2), ('liquid', 2)]]","[[('number', 4), ('experi', 4), ('coeffici', 3), ('gaseous', 3), ('high', 2), ('determin', 2), ('expans', 2), ('iodid', 2), ('mercuri', 2), ('liquid', 2), ('precis', 2), ('larg', 2), ('reach', 2), ('matter', 2), ('state', 2), ('boil', 1), ('purpos', 1), ('search', 1), ('silver', 1), ('employ', 1), ('exact', 1), ('hitherto', 1), ('within', 1), ('observ', 1)]]","[[('number', 4), ('experi', 4), ('coeffici', 3), ('gaseous', 3), ('high', 2), ('determin', 2), ('expans', 2), ('iodid', 2), ('mercuri', 2), ('liquid', 2), ('precis', 2), ('larg', 2), ('reach', 2), ('matter', 2), ('state', 2), ('boil', 1), ('purpos', 1), ('search', 1), ('silver', 1), ('employ', 1), ('exact', 1), ('hitherto', 1), ('within', 1), ('observ', 1)]]","[[('number', 4), ('experi', 4), ('coeffici', 3), ('gaseous', 3), ('high', 2), ('determin', 2), ('expans', 2), ('iodid', 2), ('mercuri', 2), ('liquid', 2), ('precis', 2), ('larg', 2), ('reach', 2), ('matter', 2), ('state', 2), ('boil', 1), ('purpos', 1), ('search', 1), ('silver', 1), ('employ', 1), ('exact', 1), ('hitherto', 1), ('within', 1), ('observ', 1)]]",0.0,,2.0,"[[('number', 4), ('experi', 4)]]",5.0,"[[('number', 4), ('experi', 4), ('coeffici', 3), ('gaseous', 3), ('high', 2)]]",6.0,"[[('number', 4), ('experi', 4), ('coeffici', 3), ('gaseous', 3), ('high', 2), ('determin', 2)]]"
49,1875,NA,,,,,,,,,,,,,,,
50,1876,NA,,,,,,,,,,,,,,,
51,1877,NA,1.0,23.0,12.0,"[[('bubbl', 3), ('heat', 3), ('direct', 3), ('repuls', 2), ('sourc', 2), ('bodi', 2), ('motion', 2), ('appar', 2), ('posit', 1), ('fluid', 1)]]","[[('bubbl', 3), ('heat', 3), ('direct', 3), ('repuls', 2), ('sourc', 2), ('bodi', 2), ('motion', 2), ('appar', 2), ('posit', 1), ('fluid', 1), ('remark', 1), ('gas', 1)]]","[[('bubbl', 3), ('heat', 3), ('direct', 3), ('repuls', 2), ('sourc', 2), ('bodi', 2), ('motion', 2), ('appar', 2), ('posit', 1), ('fluid', 1), ('remark', 1), ('gas', 1)]]","[[('bubbl', 3), ('heat', 3), ('direct', 3), ('repuls', 2), ('sourc', 2), ('bodi', 2), ('motion', 2), ('appar', 2), ('posit', 1), ('fluid', 1), ('remark', 1), ('gas', 1)]]",0.0,,1.0,"[[('bubbl', 3)]]",2.0,"[[('bubbl', 3), ('heat', 3)]]",3.0,"[[('bubbl', 3), ('heat', 3), ('direct', 3)]]"
52,1878,NA,1.0,24.0,10.0,"[[('direct', 5), ('line', 5), ('particular', 3), ('h', 3), ('axe', 2), ('pressur', 2), ('princip', 1), ('inequ', 1), ('temperatur', 1), ('point', 1)]]","[[('direct', 5), ('line', 5), ('particular', 3), ('h', 3), ('axe', 2), ('pressur', 2), ('princip', 1), ('inequ', 1), ('temperatur', 1), ('point', 1)]]","[[('direct', 5), ('line', 5), ('particular', 3), ('h', 3), ('axe', 2), ('pressur', 2), ('princip', 1), ('inequ', 1), ('temperatur', 1), ('point', 1)]]","[[('direct', 5), ('line', 5), ('particular', 3), ('h', 3), ('axe', 2), ('pressur', 2), ('princip', 1), ('inequ', 1), ('temperatur', 1), ('point', 1)]]",0.0,,1.0,"[[('direct', 5)]]",2.0,"[[('direct', 5), ('line', 5)]]",2.0,"[[('direct', 5), ('line', 5)]]"
