,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
16,1895,NA,3,69,38,"[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3), ('work', 3), ('thermomet', 3), ('concentr', 3), ('sampl', 3), ('uraninit', 3), ('cours', 3)]]","[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3), ('work', 3), ('thermomet', 3), ('concentr', 3), ('sampl', 3), ('uraninit', 3), ('cours', 3), ('kind', 2), ('recent', 2), ('equal', 2), ('ion', 2), ('experiment', 2), ('error', 2), ('note', 2), ('investig', 2), ('various', 2), ('read', 1), ('histori', 1), ('subject', 1), ('comparison', 1), ('temperatur', 1), ('aid', 1), ('veloc', 1), ('electrolysi', 1), ('limit', 1), ('observ', 1), ('phenomena', 1), ('argon', 1), ('format', 1), ('ammonia', 1), ('weak', 1), ('line', 1), ('coron', 1), ('spectrum', 1), ('preliminari', 1)]]","[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3), ('work', 3), ('thermomet', 3), ('concentr', 3), ('sampl', 3), ('uraninit', 3), ('cours', 3), ('kind', 2), ('recent', 2), ('equal', 2), ('ion', 2), ('experiment', 2), ('error', 2), ('note', 2), ('investig', 2), ('various', 2), ('read', 1), ('histori', 1), ('subject', 1), ('comparison', 1), ('temperatur', 1), ('aid', 1), ('veloc', 1), ('electrolysi', 1), ('limit', 1), ('observ', 1), ('phenomena', 1), ('argon', 1), ('format', 1), ('ammonia', 1), ('weak', 1), ('line', 1), ('coron', 1), ('spectrum', 1), ('preliminari', 1)]]","[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3), ('work', 3), ('thermomet', 3), ('concentr', 3), ('sampl', 3), ('uraninit', 3), ('cours', 3), ('kind', 2), ('recent', 2), ('equal', 2), ('ion', 2), ('experiment', 2), ('error', 2), ('note', 2), ('investig', 2), ('various', 2), ('read', 1), ('histori', 1), ('subject', 1), ('comparison', 1), ('temperatur', 1), ('aid', 1), ('veloc', 1), ('electrolysi', 1), ('limit', 1), ('observ', 1), ('phenomena', 1), ('argon', 1), ('format', 1), ('ammonia', 1), ('weak', 1), ('line', 1), ('coron', 1), ('spectrum', 1), ('preliminari', 1)]]",0,,4,"[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3)]]",8,"[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3), ('work', 3), ('thermomet', 3), ('concentr', 3), ('sampl', 3)]]",10,"[[('conduct', 4), ('equival', 4), ('number', 3), ('mercuri', 3), ('work', 3), ('thermomet', 3), ('concentr', 3), ('sampl', 3), ('uraninit', 3), ('cours', 3)]]"
17,1896,NA,2,33,18,"[[('spectrum', 4), ('emiss', 4), ('cyanogen', 3), ('theori', 3), ('exist', 2), ('differ', 2), ('distinct', 2), ('discuss', 2), ('solut', 2), ('arc', 1)]]","[[('spectrum', 4), ('emiss', 4), ('cyanogen', 3), ('theori', 3), ('exist', 2), ('differ', 2), ('distinct', 2), ('discuss', 2), ('solut', 2), ('arc', 1), ('air', 1), ('temperatur', 1), ('experi', 1), ('live', 1), ('carbon', 1), ('issu', 1), ('natur', 1), ('question', 1)]]","[[('spectrum', 4), ('emiss', 4), ('cyanogen', 3), ('theori', 3), ('exist', 2), ('differ', 2), ('distinct', 2), ('discuss', 2), ('solut', 2), ('arc', 1), ('air', 1), ('temperatur', 1), ('experi', 1), ('live', 1), ('carbon', 1), ('issu', 1), ('natur', 1), ('question', 1)]]","[[('spectrum', 4), ('emiss', 4), ('cyanogen', 3), ('theori', 3), ('exist', 2), ('differ', 2), ('distinct', 2), ('discuss', 2), ('solut', 2), ('arc', 1), ('air', 1), ('temperatur', 1), ('experi', 1), ('live', 1), ('carbon', 1), ('issu', 1), ('natur', 1), ('question', 1)]]",0,,2,"[[('spectrum', 4), ('emiss', 4)]]",4,"[[('spectrum', 4), ('emiss', 4), ('cyanogen', 3), ('theori', 3)]]",4,"[[('spectrum', 4), ('emiss', 4), ('cyanogen', 3), ('theori', 3)]]"
18,1897,NA,,,,,,,,,,,,,,,
19,1898,NA,,,,,,,,,,,,,,,
20,1899,NA,1,4,4,"[[('uranium', 1), ('radiat', 1), ('electr', 1), ('conduct', 1)]]","[[('uranium', 1), ('radiat', 1), ('electr', 1), ('conduct', 1)]]","[[('uranium', 1), ('radiat', 1), ('electr', 1), ('conduct', 1)]]","[[('uranium', 1), ('radiat', 1), ('electr', 1), ('conduct', 1)]]",0,,0,,1,"[[('uranium', 1)]]",1,"[[('uranium', 1)]]"
21,1900,NA,1,22,9,"[[('pressur', 6), ('action', 4), ('atmospher', 2), ('rate', 2), ('diffus', 2), ('various', 2), ('ion', 2), ('determin', 1), ('investig', 1)]]","[[('pressur', 6), ('action', 4), ('atmospher', 2), ('rate', 2), ('diffus', 2), ('various', 2), ('ion', 2), ('determin', 1), ('investig', 1)]]","[[('pressur', 6), ('action', 4), ('atmospher', 2), ('rate', 2), ('diffus', 2), ('various', 2), ('ion', 2), ('determin', 1), ('investig', 1)]]","[[('pressur', 6), ('action', 4), ('atmospher', 2), ('rate', 2), ('diffus', 2), ('various', 2), ('ion', 2), ('determin', 1), ('investig', 1)]]",0,,1,"[[('pressur', 6)]]",2,"[[('pressur', 6), ('action', 4)]]",2,"[[('pressur', 6), ('action', 4)]]"
22,1901,NA,1,17,8,"[[('properti', 3), ('gase', 3), ('simplic', 3), ('sake', 2), ('optic', 2), ('molecul', 2), ('aim', 1), ('paper', 1)]]","[[('properti', 3), ('gase', 3), ('simplic', 3), ('sake', 2), ('optic', 2), ('molecul', 2), ('aim', 1), ('paper', 1)]]","[[('properti', 3), ('gase', 3), ('simplic', 3), ('sake', 2), ('optic', 2), ('molecul', 2), ('aim', 1), ('paper', 1)]]","[[('properti', 3), ('gase', 3), ('simplic', 3), ('sake', 2), ('optic', 2), ('molecul', 2), ('aim', 1), ('paper', 1)]]",0,,1,"[[('properti', 3)]]",2,"[[('properti', 3), ('gase', 3)]]",2,"[[('properti', 3), ('gase', 3)]]"
23,1902,NA,1,30,5,"[[('minut', 8), ('metal', 7), ('reson', 7), ('particl', 4), ('electr', 4)]]","[[('minut', 8), ('metal', 7), ('reson', 7), ('particl', 4), ('electr', 4)]]","[[('minut', 8), ('metal', 7), ('reson', 7), ('particl', 4), ('electr', 4)]]","[[('minut', 8), ('metal', 7), ('reson', 7), ('particl', 4), ('electr', 4)]]",0,,0,,1,"[[('minut', 8)]]",1,"[[('minut', 8)]]"
24,1903,NA,2,21,15,"[[('possibl', 2), ('differ', 2), ('line', 2), ('ratio', 2), ('charg', 2), ('chang', 2), ('magnet', 1), ('field', 1), ('mass', 1), ('substanc', 1)]]","[[('possibl', 2), ('differ', 2), ('line', 2), ('ratio', 2), ('charg', 2), ('chang', 2), ('magnet', 1), ('field', 1), ('mass', 1), ('substanc', 1), ('mani', 1), ('proport', 1), ('valu', 1), ('excit', 1), ('radioact', 1)]]","[[('possibl', 2), ('differ', 2), ('line', 2), ('ratio', 2), ('charg', 2), ('chang', 2), ('magnet', 1), ('field', 1), ('mass', 1), ('substanc', 1), ('mani', 1), ('proport', 1), ('valu', 1), ('excit', 1), ('radioact', 1)]]","[[('possibl', 2), ('differ', 2), ('line', 2), ('ratio', 2), ('charg', 2), ('chang', 2), ('magnet', 1), ('field', 1), ('mass', 1), ('substanc', 1), ('mani', 1), ('proport', 1), ('valu', 1), ('excit', 1), ('radioact', 1)]]",0,,2,"[[('possibl', 2), ('differ', 2)]]",3,"[[('possibl', 2), ('differ', 2), ('line', 2)]]",4,"[[('possibl', 2), ('differ', 2), ('line', 2), ('ratio', 2)]]"
25,1904,NA,,,,,,,,,,,,,,,
