Year,Optimal_Num_Clusters,Num_Papers
2000,18,569
2001,19,551
2002,18,543
2003,21,572
2004,20,657
2005,21,865
2006,23,1150
2007,21,1279
2008,22,1685
2009,20,1924
2010,19,2000
2011,20,2221
2012,21,2442
2013,16,2804
2014,22,2911
2015,19,3122
2016,20,3555
2017,19,3958
2018,17,4165
2019,19,4477
2020,23,6218
