,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
0,1832,NA,1.0,23.0,7.0,"[[('investig', 6), ('experiment', 5), ('collater', 5), ('branch', 3), ('hour', 2), ('observ', 1), ('seri', 1)]]","[[('investig', 6), ('experiment', 5), ('collater', 5), ('branch', 3), ('hour', 2), ('observ', 1), ('seri', 1)]]","[[('investig', 6), ('experiment', 5), ('collater', 5), ('branch', 3), ('hour', 2), ('observ', 1), ('seri', 1)]]","[[('investig', 6), ('experiment', 5), ('collater', 5), ('branch', 3), ('hour', 2), ('observ', 1), ('seri', 1)]]",0.0,,1.0,"[[('investig', 6)]]",1.0,"[[('investig', 6)]]",2.0,"[[('investig', 6), ('experiment', 5)]]"
1,1833,NA,,,,,,,,,,,,,,,
2,1834,NA,,,,,,,,,,,,,,,
3,1835,NA,,,,,,,,,,,,,,,
4,1836,NA,,,,,,,,,,,,,,,
5,1837,NA,,,,,,,,,,,,,,,
6,1838,NA,,,,,,,,,,,,,,,
7,1839,NA,,,,,,,,,,,,,,,
8,1840,NA,,,,,,,,,,,,,,,
9,1841,NA,,,,,,,,,,,,,,,
10,1842,NA,,,,,,,,,,,,,,,
11,1843,NA,,,,,,,,,,,,,,,
12,1844,NA,,,,,,,,,,,,,,,
13,1845,NA,,,,,,,,,,,,,,,
14,1846,NA,,,,,,,,,,,,,,,
15,1847,NA,,,,,,,,,,,,,,,
