Year,Optimal_Num_Clusters,Num_Papers
2000,18,1000
2001,19,1000
2002,19,1000
2003,18,1000
2004,20,1000
2005,21,1000
2006,22,1000
2007,20,1000
2008,18,1000
2009,17,1000
2010,21,1000
2011,18,1000
2012,20,1000
2013,20,1000
2014,19,1000
2015,18,1000
2016,18,1000
2017,21,1000
2018,21,1000
2019,20,1000
2020,21,1000
