Year,Optimal_Num_Clusters,Num_Papers
2000,21,224
2001,18,271
2002,18,275
2003,21,244
2004,20,537
2005,21,536
2006,21,504
2007,18,475
2008,18,751
2009,22,711
2010,21,694
2011,18,882
2012,18,873
2013,20,1027
2014,18,1199
2015,16,1339
2016,18,1450
2017,18,1478
2018,16,1795
2019,16,2104
2020,14,3390
