Year,Optimal_Num_Clusters,Num_Papers
2000,18,569
2001,19,551
2002,18,543
2003,21,572
2004,20,657
2005,21,865
2006,23,1000
2007,21,1000
2008,22,1000
2009,20,1000
2010,19,1000
2011,20,1000
2012,21,1000
2013,16,1000
2014,22,1000
2015,19,1000
2016,20,1000
2017,19,1000
2018,17,1000
2019,19,1000
2020,23,1000
