Year,Optimal_Num_Clusters,Num_Papers
2000,21,170
2001,17,208
2002,22,228
2003,20,232
2004,21,372
2005,20,385
2006,21,466
2007,17,438
2008,20,636
2009,16,752
2010,17,676
2011,17,866
2012,17,944
2013,20,1014
2014,17,1239
2015,17,1378
2016,17,1415
2017,17,1460
2018,17,1814
2019,17,2804
2020,17,7981
