Year,Optimal_Num_Clusters,Num_Papers
2000,17,53
2001,15,46
2002,16,41
2003,13,43
2004,17,61
2005,25,85
2006,18,64
2007,21,82
2008,23,103
2009,27,106
2010,23,167
2011,19,243
2012,18,354
2013,17,538
2014,21,466
2015,21,521
2016,15,611
2017,18,579
2018,16,717
2019,17,1000
2020,19,1000
