Year,Optimal_Num_Clusters,Num_Papers
2000,21,953
2001,19,1289
2002,18,1692
2003,18,1637
2004,21,1851
2005,18,2045
2006,18,2546
2007,18,2864
2008,18,6340
2009,17,7439
2010,16,8102
2011,16,8651
2012,15,9250
2013,14,9857
2014,15,10247
2015,16,11238
2016,15,11063
2017,15,12505
