Year,Optimal_Num_Clusters,Num_Papers
2000,12,36
2001,14,39
2002,10,33
2003,14,40
2004,15,52
2005,15,48
2006,16,55
2007,21,73
2008,17,68
2009,15,55
2010,20,66
2011,14,53
2012,21,86
2013,17,404
2014,23,117
2015,22,146
2016,23,164
2017,23,116
2018,23,180
2019,17,294
2020,17,563
