Year,Optimal_Num_Clusters,Num_Papers
2000,18,2703
2001,19,2716
2002,19,3143
2003,18,3486
2004,20,3878
2005,21,4427
2006,22,5071
2007,20,5616
2008,18,7252
2009,17,7357
2010,21,7992
2011,18,8631
2012,20,9019
2013,20,9928
2014,19,10994
2015,18,12370
2016,18,13424
2017,21,14155
2018,21,15895
2019,20,19940
2020,21,28443
